Voltage (V), Current (A)
-3.000000000000000000e+00,-4.657241000000000006e-08
-2.899999999999999911e+00,-1.095529999999999990e-10
-2.799999999999999822e+00,-6.679689000000000579e-11
-2.699999999999999734e+00,-9.369188999999999408e-11
-2.599999999999999645e+00,-1.729976999999999877e-10
-2.499999999999999556e+00,-6.679693000000000303e-11
-2.399999999999999467e+00,-9.162300999999999533e-11
-2.299999999999999378e+00,-3.990187999999999880e-11
-2.199999999999999289e+00,-5.990069999999999820e-11
-2.099999999999999201e+00,2.854116000000000074e-12
-1.999999999999999112e+00,-4.541911999999999923e-11
-1.899999999999999023e+00,-7.921029999999999581e-11
-1.799999999999998934e+00,-7.300378000000000420e-11
-1.699999999999998845e+00,-1.921358999999999871e-11
-1.599999999999998757e+00,3.543773000000000070e-12
-1.499999999999998668e+00,-1.024854000000000068e-11
-1.399999999999998579e+00,-1.093817000000000003e-11
-1.299999999999998490e+00,-8.179686000000000776e-12
-1.199999999999998401e+00,-1.714467999999999880e-11
-1.099999999999998312e+00,-1.093814000000000048e-11
-9.999999999999982236e-01,-3.162659000000000085e-11
-8.999999999999981348e-01,9.060769000000000204e-12
-7.999999999999980460e-01,-3.714354000000000189e-11
-6.999999999999979572e-01,-4.748774000000000299e-11
-5.999999999999978684e-01,9.578102000000000247e-14
-4.999999999999977796e-01,1.388810000000000016e-11
-3.999999999999976907e-01,6.302334000000000154e-12
-2.999999999999976019e-01,9.581572000000000282e-14
-1.999999999999975131e-01,-6.110720000000000038e-12
-9.999999999999742428e-02,-1.231724999999999985e-11
2.664535259100375697e-15,5.612753000000000005e-12
1.000000000000027534e-01,2.285313000000000119e-11
2.000000000000028422e-01,1.181930000000000074e-11
3.000000000000029310e-01,5.043767000000000151e-11
4.000000000000030198e-01,1.630328000000000080e-09
5.000000000000031086e-01,8.586995000000000455e-08
6.000000000000031974e-01,4.409615000000000301e-06
7.000000000000032863e-01,2.230625999999999876e-04
8.000000000000033751e-01,1.050802999999999980e-02
9.000000000000034639e-01,2.000060000000000032e-02
1.000000000000003553e+00,2.000052999999999900e-02
1.100000000000003197e+00,2.000050000000000092e-02
1.200000000000003730e+00,2.000048999999999924e-02
1.300000000000004263e+00,2.000040999999999972e-02
1.400000000000003908e+00,2.000035999999999828e-02
1.500000000000003553e+00,2.000040999999999972e-02
1.600000000000004086e+00,2.000040999999999972e-02
1.700000000000004619e+00,2.000046999999999936e-02
1.800000000000004263e+00,2.000038000000000163e-02
1.900000000000003908e+00,2.000040999999999972e-02
2.000000000000004441e+00,2.000038000000000163e-02
2.100000000000004974e+00,2.000042000000000139e-02
2.200000000000004619e+00,2.000131000000000131e-02
2.300000000000004263e+00,2.000125000000000167e-02
2.400000000000004796e+00,2.000125999999999987e-02
2.500000000000005329e+00,2.000120000000000023e-02
2.600000000000004974e+00,2.000123999999999999e-02
2.700000000000004619e+00,2.000127000000000155e-02
2.800000000000005151e+00,2.000118000000000035e-02
2.900000000000005684e+00,2.000120999999999843e-02
3.000000000000005329e+00,2.000118999999999855e-02
3.100000000000004974e+00,2.000114999999999879e-02
3.200000000000005507e+00,2.000116000000000047e-02
3.300000000000006040e+00,2.000120000000000023e-02
3.400000000000005684e+00,2.000114000000000058e-02
3.500000000000005329e+00,2.000110000000000082e-02
3.600000000000005862e+00,2.000110999999999903e-02
3.700000000000006395e+00,2.000104000000000118e-02
3.800000000000006040e+00,2.000114999999999879e-02
3.900000000000005684e+00,2.000100999999999962e-02
4.000000000000006217e+00,2.000104000000000118e-02
4.100000000000006750e+00,2.000104000000000118e-02
4.200000000000006395e+00,2.000096999999999986e-02
4.300000000000006040e+00,2.000102000000000130e-02
4.400000000000006573e+00,2.000104000000000118e-02
4.500000000000007105e+00,2.000098999999999974e-02
4.600000000000006750e+00,2.000094999999999998e-02
4.700000000000006395e+00,2.000094999999999998e-02
4.800000000000006928e+00,2.000098000000000154e-02
4.900000000000007461e+00,2.000094999999999998e-02
5.000000000000007105e+00,2.000089999999999854e-02
