Voltage (V), Current (A)
-3.000000000000000000e+00,-3.303035000000000173e-13
-2.899999999999999911e+00,-3.291148999999999995e-11
-2.799999999999999822e+00,-2.298239000000000099e-11
-2.699999999999999734e+00,-1.155651000000000000e-11
-2.599999999999999645e+00,-1.679554999999999945e-11
-2.499999999999999556e+00,-1.040896999999999942e-11
-2.399999999999999467e+00,-1.110750999999999979e-11
-2.299999999999999378e+00,3.361893999999999811e-12
-2.199999999999999289e+00,-1.305341000000000021e-11
-2.099999999999999201e+00,-8.363310000000000237e-12
-1.999999999999999112e+00,-1.280393000000000076e-11
-1.899999999999999023e+00,3.112413000000000180e-12
-1.799999999999998934e+00,2.613540999999999960e-12
-1.699999999999998845e+00,1.029724000000000066e-11
-1.599999999999998757e+00,1.249260000000000031e-11
-1.499999999999998668e+00,2.463812000000000125e-12
-1.399999999999998579e+00,8.600788000000000611e-12
-1.299999999999998490e+00,1.528668999999999855e-11
-1.199999999999998401e+00,1.673362999999999844e-11
-1.099999999999998312e+00,2.197255000000000133e-11
-9.999999999999982236e-01,1.947783000000000123e-11
-8.999999999999981348e-01,1.204355000000000032e-11
-7.999999999999980460e-01,1.019748999999999960e-11
-6.999999999999979572e-01,2.925631000000000017e-11
-5.999999999999978684e-01,2.611341000000000152e-11
-4.999999999999977796e-01,1.523677999999999962e-11
-3.999999999999976907e-01,1.733235999999999866e-11
-2.999999999999976019e-01,2.606352000000000121e-11
-1.999999999999975131e-01,1.882918999999999885e-11
-9.999999999999742428e-02,2.406802000000000148e-11
2.664535259100375697e-15,2.207234000000000125e-11
1.000000000000027534e-01,2.267107000000000146e-11
2.000000000000028422e-01,5.898919999999999829e-11
3.000000000000029310e-01,3.342182000000000050e-10
4.000000000000030198e-01,6.211708000000000032e-09
5.000000000000031086e-01,1.829116999999999874e-07
6.000000000000031974e-01,7.302912000000000325e-06
7.000000000000032863e-01,3.174701999999999949e-04
8.000000000000033751e-01,1.129610999999999983e-02
9.000000000000034639e-01,9.490645999999999805e-02
1.000000000000003553e+00,2.400381000000000042e-01
1.100000000000003197e+00,4.063320000000000265e-01
1.200000000000003730e+00,5.809398000000000062e-01
1.300000000000004263e+00,7.605028999999999817e-01
1.400000000000003908e+00,9.425987999999999589e-01
1.500000000000003553e+00,9.998013000000000039e-01
1.600000000000004086e+00,9.997987999999999875e-01
1.700000000000004619e+00,9.998242999999999991e-01
1.800000000000004263e+00,9.998249000000000164e-01
1.900000000000003908e+00,9.998120999999999814e-01
2.000000000000004441e+00,9.998198000000000363e-01
2.100000000000004974e+00,9.998285999999999563e-01
2.200000000000004619e+00,9.997097999999999818e-01
2.300000000000004263e+00,9.997118999999999867e-01
2.400000000000004796e+00,9.997011999999999565e-01
2.500000000000005329e+00,9.997198999999999947e-01
2.600000000000004974e+00,9.997188999999999659e-01
2.700000000000004619e+00,9.997211000000000292e-01
2.800000000000005151e+00,9.997027000000000552e-01
2.900000000000005684e+00,9.997192000000000300e-01
3.000000000000005329e+00,9.997285000000000199e-01
3.100000000000004974e+00,9.997238000000000513e-01
3.200000000000005507e+00,9.997139999999999915e-01
3.300000000000006040e+00,9.997089999999999588e-01
3.400000000000005684e+00,9.997182000000000013e-01
3.500000000000005329e+00,9.997129999999999628e-01
3.600000000000005862e+00,9.997198999999999947e-01
3.700000000000006395e+00,9.997179000000000482e-01
3.800000000000006040e+00,9.997230999999999757e-01
3.900000000000005684e+00,9.997023999999999910e-01
4.000000000000006217e+00,9.997152999999999734e-01
4.100000000000006750e+00,9.997222999999999526e-01
4.200000000000006395e+00,9.997241000000000044e-01
4.300000000000006040e+00,9.997186999999999601e-01
4.400000000000006573e+00,9.997270000000000323e-01
4.500000000000007105e+00,9.997281999999999558e-01
4.600000000000006750e+00,9.997165000000000079e-01
4.700000000000006395e+00,9.997276999999999969e-01
4.800000000000006928e+00,9.997234000000000398e-01
4.900000000000007461e+00,9.997274999999999912e-01
5.000000000000007105e+00,9.997380000000000155e-01
