Voltage (V), Current (A)
-3.000000000000000000e+00,3.700532999999999964e-09
-2.899999999999999911e+00,9.750418999999999794e-12
-2.799999999999999822e+00,7.319474999999999687e-11
-2.699999999999999734e+00,1.600853999999999940e-10
-2.599999999999999645e+00,2.173228999999999992e-10
-2.499999999999999556e+00,1.849113000000000116e-10
-2.399999999999999467e+00,2.897315999999999841e-10
-2.299999999999999378e+00,2.690433999999999811e-10
-2.199999999999999289e+00,1.918073000000000000e-10
-2.099999999999999201e+00,1.787051999999999910e-10
-1.999999999999999112e+00,1.007792999999999965e-10
-1.899999999999999023e+00,5.112731000000000018e-11
-1.799999999999998934e+00,3.802463999999999821e-11
-1.699999999999998845e+00,1.181917000000000001e-11
-1.599999999999998757e+00,2.354267000000000029e-11
-1.499999999999998668e+00,7.681483999999999987e-12
-1.399999999999998579e+00,2.561153999999999974e-11
-1.299999999999998490e+00,3.664540999999999743e-11
-1.199999999999998401e+00,4.974807999999999940e-11
-1.099999999999998312e+00,5.388573999999999734e-11
-9.999999999999982236e-01,6.302295000000000259e-12
-8.999999999999981348e-01,2.009462999999999917e-11
-7.999999999999980460e-01,-7.507237999999999641e-11
-6.999999999999979572e-01,-6.128008000000000155e-11
-5.999999999999978684e-01,-3.352307999999999937e-12
-4.999999999999977796e-01,-6.265925000000000001e-11
-3.999999999999976907e-01,-9.851922000000000155e-11
-2.999999999999976019e-01,-5.990071999999999682e-11
-1.999999999999975131e-01,-4.679806999999999993e-11
-9.999999999999742428e-02,-5.231497999999999727e-11
2.664535259100375697e-15,6.354022999999999814e-11
1.000000000000027534e-01,2.974927999999999862e-11
2.000000000000028422e-01,9.043492000000000135e-11
3.000000000000029310e-01,8.078040000000000262e-11
4.000000000000030198e-01,1.334487000000000088e-09
5.000000000000031086e-01,7.204957000000000186e-08
6.000000000000031974e-01,3.770655999999999800e-06
7.000000000000032863e-01,1.945966999999999998e-04
8.000000000000033751e-01,9.409123999999999613e-03
9.000000000000034639e-01,2.000060999999999853e-02
1.000000000000003553e+00,2.000052000000000080e-02
1.100000000000003197e+00,2.000042999999999960e-02
1.200000000000003730e+00,2.000048000000000104e-02
1.300000000000004263e+00,2.000042999999999960e-02
1.400000000000003908e+00,2.000036999999999995e-02
1.500000000000003553e+00,2.000040000000000151e-02
1.600000000000004086e+00,2.000040000000000151e-02
1.700000000000004619e+00,2.000054000000000068e-02
1.800000000000004263e+00,2.000044000000000127e-02
1.900000000000003908e+00,2.000044999999999948e-02
2.000000000000004441e+00,2.000038999999999983e-02
2.100000000000004974e+00,2.000044999999999948e-02
2.200000000000004619e+00,2.000133999999999940e-02
2.300000000000004263e+00,2.000127000000000155e-02
2.400000000000004796e+00,2.000125000000000167e-02
2.500000000000005329e+00,2.000122000000000011e-02
2.600000000000004974e+00,2.000122999999999832e-02
2.700000000000004619e+00,2.000125000000000167e-02
2.800000000000005151e+00,2.000116999999999867e-02
2.900000000000005684e+00,2.000122000000000011e-02
3.000000000000005329e+00,2.000114999999999879e-02
3.100000000000004974e+00,2.000114000000000058e-02
3.200000000000005507e+00,2.000110999999999903e-02
3.300000000000006040e+00,2.000116000000000047e-02
3.400000000000005684e+00,2.000106000000000106e-02
3.500000000000005329e+00,2.000108000000000094e-02
3.600000000000005862e+00,2.000108000000000094e-02
3.700000000000006395e+00,2.000104000000000118e-02
3.800000000000006040e+00,2.000110000000000082e-02
3.900000000000005684e+00,2.000096000000000165e-02
4.000000000000006217e+00,2.000100999999999962e-02
4.100000000000006750e+00,2.000098999999999974e-02
4.200000000000006395e+00,2.000098000000000154e-02
4.300000000000006040e+00,2.000102999999999950e-02
4.400000000000006573e+00,2.000098000000000154e-02
4.500000000000007105e+00,2.000096999999999986e-02
4.600000000000006750e+00,2.000087999999999866e-02
4.700000000000006395e+00,2.000096999999999986e-02
4.800000000000006928e+00,2.000096000000000165e-02
4.900000000000007461e+00,2.000091999999999842e-02
5.000000000000007105e+00,2.000091999999999842e-02
