Vgs(V),Vds(V),Id(A)
0.0,0.0,1.737853e-07
0.0,1.0,0.001708865
0.0,2.0,0.003400092
0.0,3.0,0.00507944
0.0,4.0,0.006751129
0.0,5.0,0.008422431
0.0,6.0,0.0100921
0.0,7.0,0.01176012
0.0,8.0,0.01342986
0.0,9.0,0.01509962
0.0,10.0,0.01677494
1.0,0.0,1.517801e-07
1.0,1.0,0.001709492
1.0,2.0,0.003401553
1.0,3.0,0.005081671
1.0,4.0,0.006753872
1.0,5.0,0.008425715
1.0,6.0,0.01009581
1.0,7.0,0.01176444
1.0,8.0,0.01343455
1.0,9.0,0.01510484
1.0,10.0,0.01678085
2.0,0.0,1.06597e-07
2.0,1.0,0.001709513
2.0,2.0,0.003401502
2.0,3.0,0.005081648
2.0,4.0,0.006753895
2.0,5.0,0.00842581
2.0,6.0,0.01009573
2.0,7.0,0.01176445
2.0,8.0,0.01343463
2.0,9.0,0.01510485
2.0,10.0,0.01678103
3.0,0.0,1.190584e-07
3.0,1.0,0.001709509
3.0,2.0,0.003401533
3.0,3.0,0.005081607
3.0,4.0,0.00675382
3.0,5.0,0.008425651
3.0,6.0,0.01009577
3.0,7.0,0.01176436
3.0,8.0,0.01343452
3.0,9.0,0.0151047
3.0,10.0,0.01678076
4.0,0.0,1.472245e-07
4.0,1.0,0.00170949
4.0,2.0,0.00340139
4.0,3.0,0.005081512
4.0,4.0,0.00675373
4.0,5.0,0.008425633
4.0,6.0,0.01009568
4.0,7.0,0.01176426
4.0,8.0,0.01343434
4.0,9.0,0.01510454
4.0,10.0,0.01678035
5.0,0.0,1.468457e-07
5.0,1.0,0.001709427
5.0,2.0,0.003401364
5.0,3.0,0.0050814
5.0,4.0,0.006753634
5.0,5.0,0.008425505
5.0,6.0,0.01009553
5.0,7.0,0.01176409
5.0,8.0,0.01343426
5.0,9.0,0.01510432
5.0,10.0,0.0167804
