Timestamp,Source Voltage (V),Current Limit (A),Current (A)
2025-04-14 17:05:50.323333,0.0,1.0,1.149421e-11
2025-04-14 17:05:50.546349,0.0,1.0,-3.655615e-11
2025-04-14 17:05:50.750113,0.0,1.0,7.211166e-11
2025-04-14 17:05:50.966697,0.0,1.0,3.254925e-11
2025-04-14 17:05:51.183764,0.0,1.0,3.594174e-11
2025-04-14 17:05:51.383550,0.0,1.0,2.371883e-11
2025-04-14 17:05:51.584038,0.0,1.0,1.917828e-11
2025-04-14 17:05:51.788409,0.0,1.0,2.501595e-11
2025-04-14 17:05:51.995781,0.0,1.0,9.54825e-12
2025-04-14 17:05:52.204044,0.0,1.0,2.726097e-11
2025-04-14 17:05:52.406049,0.0,1.0,2.406805e-11
2025-04-14 17:05:52.605143,0.0,1.0,1.847973e-11
2025-04-14 17:05:52.810849,0.0,1.0,1.089546e-11
2025-04-14 17:05:53.013689,0.0,1.0,1.673335e-11
