Voltage (V), Current (A)
-3.000000000000000000e+00,-6.964900000000000381e-08
-2.899999999999999911e+00,-1.274830000000000084e-10
-2.799999999999999822e+00,-5.093571999999999857e-11
-2.699999999999999734e+00,-1.323102999999999986e-10
-2.599999999999999645e+00,-1.040360999999999945e-10
-2.499999999999999556e+00,-5.783183999999999806e-11
-2.399999999999999467e+00,-2.662631000000000108e-12
-2.299999999999999378e+00,3.388697000000000096e-11
-2.199999999999999289e+00,-4.041863999999999790e-12
-2.099999999999999201e+00,-5.990109999999999646e-11
-1.999999999999999112e+00,-6.334914999999999367e-11
-1.899999999999999023e+00,-2.679945999999999898e-11
-1.799999999999998934e+00,3.112847000000000216e-11
-1.699999999999998845e+00,2.676648000000000144e-10
-1.599999999999998757e+00,1.835324000000000010e-10
-1.499999999999998668e+00,-2.516145000000000104e-10
-1.399999999999998579e+00,-1.095533999999999972e-10
-1.299999999999998490e+00,-1.438622999999999978e-11
-1.199999999999998401e+00,2.076685000000000052e-10
-1.099999999999998312e+00,5.526494999999999950e-11
-9.999999999999982236e-01,9.595186999999999593e-11
-8.999999999999981348e-01,4.607548999999999968e-10
-7.999999999999980460e-01,-9.438161000000000016e-11
-6.999999999999979572e-01,-2.005824000000000093e-10
-5.999999999999978684e-01,-3.507459000000000151e-11
-4.999999999999977796e-01,1.511204999999999953e-10
-3.999999999999976907e-01,-1.364480999999999933e-10
-2.999999999999976019e-01,-2.404073999999999920e-11
-1.999999999999975131e-01,6.767787000000000392e-11
-9.999999999999742428e-02,9.871021000000000576e-11
2.664535259100375697e-15,1.476723000000000020e-10
1.000000000000027534e-01,3.207638999999999887e-10
2.000000000000028422e-01,1.973241000000000114e-10
3.000000000000029310e-01,4.614434999999999896e-10
4.000000000000030198e-01,3.151601000000000065e-09
5.000000000000031086e-01,9.816840000000000441e-08
6.000000000000031974e-01,4.672425999999999808e-06
7.000000000000032863e-01,2.324446999999999939e-04
8.000000000000033751e-01,1.078527999999999952e-02
9.000000000000034639e-01,2.000058999999999865e-02
1.000000000000003553e+00,2.000052999999999900e-02
1.100000000000003197e+00,2.000048000000000104e-02
1.200000000000003730e+00,2.000046999999999936e-02
1.300000000000004263e+00,2.000040999999999972e-02
1.400000000000003908e+00,2.000031000000000031e-02
1.500000000000003553e+00,2.000035999999999828e-02
1.600000000000004086e+00,2.000036999999999995e-02
1.700000000000004619e+00,2.000044000000000127e-02
1.800000000000004263e+00,2.000042999999999960e-02
1.900000000000003908e+00,2.000038999999999983e-02
2.000000000000004441e+00,2.000038000000000163e-02
2.100000000000004974e+00,2.000046000000000115e-02
2.200000000000004619e+00,2.000131999999999952e-02
2.300000000000004263e+00,2.000129999999999963e-02
2.400000000000004796e+00,2.000120000000000023e-02
2.500000000000005329e+00,2.000122999999999832e-02
2.600000000000004974e+00,2.000122999999999832e-02
2.700000000000004619e+00,2.000123999999999999e-02
2.800000000000005151e+00,2.000108999999999915e-02
2.900000000000005684e+00,2.000114999999999879e-02
3.000000000000005329e+00,2.000114000000000058e-02
3.100000000000004974e+00,2.000108999999999915e-02
3.200000000000005507e+00,2.000110999999999903e-02
3.300000000000006040e+00,2.000114000000000058e-02
3.400000000000005684e+00,2.000110999999999903e-02
3.500000000000005329e+00,2.000104000000000118e-02
3.600000000000005862e+00,2.000112999999999891e-02
3.700000000000006395e+00,2.000100999999999962e-02
3.800000000000006040e+00,2.000110999999999903e-02
3.900000000000005684e+00,2.000100999999999962e-02
4.000000000000006217e+00,2.000104999999999938e-02
4.100000000000006750e+00,2.000100000000000142e-02
4.200000000000006395e+00,2.000093000000000010e-02
4.300000000000006040e+00,2.000098999999999974e-02
4.400000000000006573e+00,2.000096999999999986e-02
4.500000000000007105e+00,2.000098000000000154e-02
4.600000000000006750e+00,2.000091999999999842e-02
4.700000000000006395e+00,2.000091999999999842e-02
4.800000000000006928e+00,2.000087999999999866e-02
4.900000000000007461e+00,2.000089999999999854e-02
5.000000000000007105e+00,2.000089000000000033e-02
