Voltage (V), Current (A)
-3.000000000000000000e+00,7.054057000000000221e-12
-2.899999999999999911e+00,-1.859170999999999894e-11
-2.799999999999999822e+00,-8.263566999999999982e-12
-2.699999999999999734e+00,-1.005974000000000051e-11
-2.599999999999999645e+00,4.459565000000000092e-12
-2.499999999999999556e+00,-7.515134000000000802e-12
-2.399999999999999467e+00,-5.070316999999999629e-12
-2.299999999999999378e+00,3.761034999999999837e-12
-2.199999999999999289e+00,1.378983999999999973e-11
-2.099999999999999201e+00,-8.163775000000000522e-12
-1.999999999999999112e+00,1.932813999999999846e-11
-1.899999999999999023e+00,1.383973999999999935e-11
-1.799999999999998934e+00,1.104564999999999949e-11
-1.699999999999998845e+00,2.336959000000000160e-11
-1.599999999999998757e+00,1.533657999999999886e-11
-1.499999999999998668e+00,1.808076999999999910e-11
-1.399999999999998579e+00,2.092475999999999858e-11
-1.299999999999998490e+00,6.804611999999999965e-12
-1.199999999999998401e+00,1.349046999999999997e-11
-1.099999999999998312e+00,2.042582000000000151e-11
-9.999999999999982236e-01,3.190035000000000270e-11
-8.999999999999981348e-01,2.287065000000000131e-11
-7.999999999999980460e-01,1.823045999999999864e-11
-6.999999999999979572e-01,2.576420000000000123e-11
-5.999999999999978684e-01,2.880731999999999927e-11
-4.999999999999977796e-01,2.761003999999999935e-11
-3.999999999999976907e-01,2.247148999999999839e-11
-2.999999999999976019e-01,1.967739999999999853e-11
-1.999999999999975131e-01,2.297044000000000123e-11
-9.999999999999742428e-02,3.399563000000000304e-11
2.664535259100375697e-15,3.224956000000000299e-11
1.000000000000027534e-01,3.085272000000000185e-11
2.000000000000028422e-01,2.731071000000000006e-11
3.000000000000029310e-01,1.017428000000000030e-10
4.000000000000030198e-01,3.484204999999999964e-09
5.000000000000031086e-01,1.624074999999999936e-07
6.000000000000031974e-01,7.563719999999999810e-06
7.000000000000032863e-01,3.427330000000000133e-04
8.000000000000033751e-01,1.221747999999999931e-02
9.000000000000034639e-01,9.855936999999999337e-02
1.000000000000003553e+00,2.449754000000000098e-01
1.100000000000003197e+00,4.119175999999999949e-01
1.200000000000003730e+00,5.871665999999999830e-01
1.300000000000004263e+00,7.672259000000000162e-01
1.400000000000003908e+00,9.500952000000000286e-01
1.500000000000003553e+00,9.998065000000000424e-01
1.600000000000004086e+00,9.998084000000000415e-01
1.700000000000004619e+00,9.998238999999999876e-01
1.800000000000004263e+00,9.998226000000000058e-01
1.900000000000003908e+00,9.998226999999999531e-01
2.000000000000004441e+00,9.998232000000000230e-01
2.100000000000004974e+00,9.998531000000000502e-01
2.200000000000004619e+00,9.997063000000000477e-01
2.300000000000004263e+00,9.997116999999999809e-01
2.400000000000004796e+00,9.997042000000000428e-01
2.500000000000005329e+00,9.997097999999999818e-01
2.600000000000004974e+00,9.996998000000000273e-01
2.700000000000004619e+00,9.997116000000000335e-01
2.800000000000005151e+00,9.997021999999999853e-01
2.900000000000005684e+00,9.997190999999999717e-01
3.000000000000005329e+00,9.997095999999999760e-01
3.100000000000004974e+00,9.997287000000000257e-01
3.200000000000005507e+00,9.997251000000000332e-01
3.300000000000006040e+00,9.997323000000000182e-01
3.400000000000005684e+00,9.997317000000000009e-01
3.500000000000005329e+00,9.997357999999999523e-01
3.600000000000005862e+00,9.997228000000000225e-01
3.700000000000006395e+00,9.997118000000000393e-01
3.800000000000006040e+00,9.997323000000000182e-01
3.900000000000005684e+00,9.997291999999999845e-01
4.000000000000006217e+00,9.997243000000000102e-01
4.100000000000006750e+00,9.997278000000000553e-01
4.200000000000006395e+00,9.997348999999999819e-01
4.300000000000006040e+00,9.997239999999999460e-01
4.400000000000006573e+00,9.997198999999999947e-01
4.500000000000007105e+00,9.997201000000000004e-01
4.600000000000006750e+00,9.997312000000000420e-01
4.700000000000006395e+00,9.997361999999999638e-01
4.800000000000006928e+00,9.997257999999999978e-01
4.900000000000007461e+00,9.997173999999999783e-01
5.000000000000007105e+00,9.997354000000000518e-01
