Timestamp,Gate Voltage (V),Drain Voltage (V),Gate Current (A),Drain Current (A),Current Limit (A)
2025-04-23 18:49:04.471060,0.0,1000.0,-1.465001e-09,1.523153e-08,0.001
2025-04-23 18:49:04.911084,0.0,1000.0,-1.403538e-09,3.530624e-08,0.001
2025-04-23 18:49:05.359354,0.0,1000.0,-1.601918e-09,1.547803e-08,0.001
2025-04-23 18:49:05.803600,0.0,1000.0,-1.463793e-09,1.460788e-08,0.001
2025-04-23 18:49:06.248690,0.0,1000.0,-1.688447e-09,1.618037e-08,0.001
2025-04-23 18:49:06.693652,0.0,1000.0,-1.650491e-09,1.477698e-08,0.001
2025-04-23 18:49:07.135385,0.0,1000.0,-1.777242e-09,1.675643e-08,0.001
2025-04-23 18:49:07.582500,0.0,1000.0,-1.686938e-09,1.477913e-08,0.001
2025-04-23 18:49:08.033869,0.0,1000.0,-2.081081e-09,1.816374e-08,0.001
2025-04-23 18:49:08.487241,0.0,1000.0,-1.611582e-09,1.500938e-08,0.001
2025-04-23 18:49:08.913858,0.0,1000.0,-1.536279e-09,2.995242e-08,0.001
2025-04-23 18:49:09.426464,0.0,1000.0,-1.663983e-09,1.500893e-08,0.001
2025-04-23 18:49:09.855173,0.0,1000.0,-1.585508e-09,1.419265e-08,0.001
2025-04-23 18:49:10.298055,0.0,1000.0,-1.825971e-09,1.536218e-08,0.001
2025-04-23 18:49:10.726153,0.0,1000.0,-1.625173e-09,1.421613e-08,0.001
2025-04-23 18:49:11.166110,0.0,1000.0,-1.954076e-09,1.578387e-08,0.001
2025-04-23 18:49:11.615363,0.0,1000.0,-1.789776e-09,1.440011e-08,0.001
2025-04-23 18:49:12.058583,0.0,1000.0,-2.03995e-09,1.715247e-08,0.001
2025-04-23 18:49:12.483487,0.0,1000.0,-1.812832e-09,1.442218e-08,0.001
2025-04-23 18:49:12.923684,0.0,1000.0,-1.608917e-09,2.602266e-08,0.001
2025-04-23 18:49:13.367180,0.0,1000.0,-1.715426e-09,1.457919e-08,0.001
2025-04-23 18:49:13.814739,0.0,1000.0,-1.754542e-09,1.407973e-08,0.001
2025-04-23 18:49:14.267118,0.0,1000.0,-1.774222e-09,1.472158e-08,0.001
2025-04-23 18:49:14.715242,0.0,1000.0,-1.645912e-09,1.386455e-08,0.001
2025-04-23 18:49:15.159309,0.0,1000.0,-1.941042e-09,1.573578e-08,0.001
2025-04-23 18:49:15.601090,0.0,1000.0,-1.82265e-09,1.400953e-08,0.001
2025-04-23 18:49:16.048461,0.0,1000.0,-2.306641e-09,1.738445e-08,0.001
2025-04-23 18:49:16.566954,0.0,1000.0,-1.749105e-09,1.413158e-08,0.001
2025-04-23 18:49:17.014213,0.0,1000.0,-2.610223e-09,1.828048e-08,0.001
2025-04-23 18:49:17.451874,0.0,1000.0,-1.990775e-09,1.446885e-08,0.001
2025-04-23 18:49:17.910777,0.0,1000.0,-1.770247e-09,2.932195e-08,0.001
2025-04-23 18:49:18.359816,0.0,1000.0,-1.904295e-09,1.448204e-08,0.001
2025-04-23 18:49:18.812047,0.0,1000.0,-1.761787e-09,1.367973e-08,0.001
2025-04-23 18:49:19.493910,0.0,1000.0,-8.741705e-08,0.0009999578,0.001
2025-04-23 18:49:20.045788,0.0,1000.0,-5.961635e-07,0.0009999573,0.001
2025-04-23 18:49:20.745072,0.0,1000.0,-1.000539e-06,0.00099996,0.001
2025-04-23 18:49:21.314030,0.0,1000.0,-1.510882e-06,0.0009999571,0.001
2025-04-23 18:49:21.889463,0.0,1000.0,-1.854275e-07,0.0009999567,0.001
2025-04-23 18:49:22.534285,0.0,1000.0,-9.522712e-07,0.0009999585,0.001
2025-04-23 18:49:22.983291,0.0,1000.0,3.085288e-06,0.0009999565,0.001
2025-04-23 18:49:23.529997,0.0,1000.0,-7.179204e-07,0.0009999573,0.001
2025-04-23 18:49:24.181760,0.0,1000.0,-1.039024e-06,0.000999956,0.001
