Timestamp,Gate Voltage (V),Drain Voltage (V),Gate Current (A),Drain Current (A),Current Limit (A)
2025-04-23 19:56:33.768627,0.0,500.0,-2.753301e-08,5.121868e-07,0.001
2025-04-23 19:56:34.209776,0.0,500.0,-2.762241e-08,5.124949e-07,0.001
2025-04-23 19:56:34.655173,0.0,500.0,-2.742411e-08,5.120748e-07,0.001
2025-04-23 19:56:35.097476,0.0,500.0,-2.796588e-08,5.130707e-07,0.001
2025-04-23 19:56:35.545605,0.0,500.0,-2.764106e-08,5.118259e-07,0.001
2025-04-23 19:56:35.989489,0.0,500.0,-2.869768e-08,5.137438e-07,0.001
2025-04-23 19:56:36.493035,0.0,500.0,-2.755663e-08,5.116484e-07,0.001
2025-04-23 19:56:36.936702,0.0,500.0,-2.763528e-08,5.153732e-07,0.001
2025-04-23 19:56:37.355641,0.0,500.0,-2.758708e-08,5.117284e-07,0.001
2025-04-23 19:56:37.801590,0.0,500.0,-2.750574e-08,5.112822e-07,0.001
2025-04-23 19:56:38.240262,0.0,500.0,-2.774557e-08,5.115446e-07,0.001
2025-04-23 19:56:38.689598,0.0,500.0,-2.762066e-08,5.110401e-07,0.001
2025-04-23 19:56:39.133326,0.0,500.0,-2.791728e-08,5.120413e-07,0.001
2025-04-23 19:56:39.580679,0.0,500.0,-2.76683e-08,5.110154e-07,0.001
2025-04-23 19:56:40.022547,0.0,500.0,-2.851659e-08,5.127768e-07,0.001
2025-04-23 19:56:40.465156,0.0,500.0,-2.765979e-08,5.107768e-07,0.001
2025-04-23 19:56:40.908119,0.0,500.0,-2.763197e-08,5.229692e-07,0.001
2025-04-23 19:56:41.324329,0.0,500.0,-2.779341e-08,5.108098e-07,0.001
2025-04-23 19:56:41.768182,0.0,500.0,-2.762008e-08,5.104357e-07,0.001
2025-04-23 19:56:42.211216,0.0,500.0,-2.779543e-08,5.107142e-07,0.001
2025-04-23 19:56:42.652122,0.0,500.0,-2.770978e-08,5.099986e-07,0.001
2025-04-23 19:56:43.115382,0.0,500.0,-2.818573e-08,5.112874e-07,0.001
2025-04-23 19:56:43.562452,0.0,500.0,-2.774536e-08,5.09913e-07,0.001
2025-04-23 19:56:44.070311,0.0,500.0,-2.82463e-08,5.110755e-07,0.001
2025-04-23 19:56:44.514827,0.0,500.0,-2.774033e-08,5.0987e-07,0.001
2025-04-23 19:56:44.926103,0.0,500.0,-2.762805e-08,5.151564e-07,0.001
2025-04-23 19:56:45.369524,0.0,500.0,-2.795925e-08,5.098123e-07,0.001
2025-04-23 19:56:45.818218,0.0,500.0,-2.764613e-08,5.09422e-07,0.001
2025-04-23 19:56:46.262224,0.0,500.0,-2.786811e-08,5.098972e-07,0.001
2025-04-23 19:56:46.701908,0.0,500.0,-2.772141e-08,5.090553e-07,0.001
2025-04-23 19:56:47.130824,0.0,500.0,-2.812128e-08,5.10307e-07,0.001
2025-04-23 19:56:47.564978,0.0,500.0,-2.772907e-08,5.091879e-07,0.001
2025-04-23 19:56:47.992381,0.0,500.0,-2.948438e-08,5.118845e-07,0.001
2025-04-23 19:56:48.434267,0.0,500.0,-2.790203e-08,5.090926e-07,0.001
2025-04-23 19:56:48.880485,0.0,500.0,-2.769113e-08,6.031082e-07,0.001
2025-04-23 19:56:49.310041,0.0,500.0,-2.797177e-08,5.093085e-07,0.001
2025-04-23 19:56:49.748935,0.0,500.0,-2.782461e-08,5.087878e-07,0.001
2025-04-23 19:56:50.183404,0.0,500.0,-2.794571e-08,5.093635e-07,0.001
2025-04-23 19:56:50.628161,0.0,500.0,-2.781951e-08,5.0838e-07,0.001
2025-04-23 19:56:51.055243,0.0,500.0,-2.878204e-08,5.10212e-07,0.001
2025-04-23 19:56:51.560599,0.0,500.0,-2.78276e-08,5.084921e-07,0.001
2025-04-23 19:56:52.006814,0.0,500.0,-2.968238e-08,5.109131e-07,0.001
2025-04-23 19:56:52.431907,0.0,500.0,-2.807495e-08,5.083589e-07,0.001
2025-04-23 19:56:52.896554,0.0,500.0,-2.780389e-08,7.893825e-07,0.001
2025-04-23 19:56:53.341729,0.0,500.0,-2.8115e-08,5.082959e-07,0.001
2025-04-23 19:56:53.774612,0.0,500.0,-2.784412e-08,5.078618e-07,0.001
2025-04-23 19:56:54.217312,0.0,500.0,-2.835375e-08,5.087924e-07,0.001
2025-04-23 19:56:54.662355,0.0,500.0,-2.786433e-08,5.079361e-07,0.001
2025-04-23 19:56:55.115601,0.0,500.0,-2.838128e-08,5.089498e-07,0.001
2025-04-23 19:56:55.560412,0.0,500.0,-2.792642e-08,5.074044e-07,0.001
2025-04-23 19:56:56.004550,0.0,500.0,-2.979527e-08,5.102366e-07,0.001
2025-04-23 19:56:56.433696,0.0,500.0,-2.808374e-08,5.076266e-07,0.001
2025-04-23 19:56:56.872643,0.0,500.0,-2.78658e-08,5.069504e-07,0.001
2025-04-23 19:56:57.302156,0.0,500.0,-2.805737e-08,5.07492e-07,0.001
2025-04-23 19:56:57.744431,0.0,500.0,-2.784856e-08,5.069589e-07,0.001
2025-04-23 19:56:58.186390,0.0,500.0,-2.830357e-08,5.077023e-07,0.001
2025-04-23 19:56:58.705761,0.0,500.0,-2.788687e-08,5.066887e-07,0.001
