Vgs(V),Vds(V),Id(A)
0.0,0.0,1.303805e-10
0.0,1.0,1.53509e-09
0.0,2.0,1.869191e-09
0.0,3.0,1.804487e-09
0.0,4.0,2.008283e-09
0.0,5.0,1.595953e-09
0.0,6.0,1.850234e-09
0.0,7.0,1.959494e-09
0.0,8.0,2.541295e-09
0.0,9.0,2.16528e-09
0.0,10.0,2.547782e-09
0.0,11.0,2.28327e-09
0.0,12.0,2.332706e-09
0.0,13.0,2.213622e-09
0.0,14.0,2.248945e-09
0.0,15.0,2.066952e-09
0.0,16.0,2.142785e-09
0.0,17.0,2.215368e-09
0.0,18.0,2.271744e-09
0.0,19.0,2.299383e-09
0.0,20.0,2.355356e-09
1.0,0.0,1.606945e-08
1.0,1.0,5.607524e-05
1.0,2.0,6.435404e-05
1.0,3.0,6.86932e-05
1.0,4.0,7.0698e-05
1.0,5.0,7.214639e-05
1.0,6.0,7.313841e-05
1.0,7.0,7.383747e-05
1.0,8.0,7.441933e-05
1.0,9.0,7.489297e-05
1.0,10.0,7.527179e-05
1.0,11.0,7.556782e-05
1.0,12.0,7.582585e-05
1.0,13.0,7.606728e-05
1.0,14.0,7.630312e-05
1.0,15.0,7.653218e-05
1.0,16.0,7.675798e-05
1.0,17.0,7.697475e-05
1.0,18.0,7.71879e-05
1.0,19.0,7.740445e-05
1.0,20.0,7.761754e-05
2.0,0.0,2.308864e-06
2.0,1.0,0.004652232
2.0,2.0,0.005488887
2.0,3.0,0.005797344
2.0,4.0,0.005963554
2.0,5.0,0.006084463
2.0,6.0,0.006179399
2.0,7.0,0.006256611
2.0,8.0,0.006316565
2.0,9.0,0.006357521
2.0,10.0,0.00639072
2.0,11.0,0.006419333
2.0,12.0,0.006443517
2.0,13.0,0.006464273
2.0,14.0,0.006482177
2.0,15.0,0.006498273
2.0,16.0,0.006513258
2.0,17.0,0.006527744
2.0,18.0,0.006542087
2.0,19.0,0.006556371
2.0,20.0,0.006570407
3.0,0.0,1.474844e-05
3.0,1.0,0.04664261
3.0,2.0,0.05729542
3.0,3.0,0.06108581
3.0,4.0,0.06330723
3.0,5.0,0.06490704
3.0,6.0,0.06616633
3.0,7.0,0.06720703
3.0,8.0,0.06810622
3.0,9.0,0.06889177
3.0,10.0,0.06957533
3.0,11.0,0.0701312
3.0,12.0,0.07056804
3.0,13.0,0.0709623
3.0,14.0,0.07133143
3.0,15.0,0.07167477
3.0,16.0,0.07200822
3.0,17.0,0.07232168
3.0,18.0,0.07262851
3.0,19.0,0.07293779
3.0,20.0,0.07325754
4.0,0.0,3.536267e-05
4.0,1.0,0.09999682
4.0,2.0,0.0999965
4.0,3.0,0.09999716
4.0,4.0,0.09999719
4.0,5.0,0.09999716
4.0,6.0,0.09999705
4.0,7.0,0.09999707
4.0,8.0,0.09999697
4.0,9.0,0.09999697
4.0,10.0,0.09999679
4.0,11.0,0.09999674
4.0,12.0,0.09999683
4.0,13.0,0.09999672
4.0,14.0,0.09999671
4.0,15.0,0.09999665
4.0,16.0,0.09999669
4.0,17.0,0.09999669
4.0,18.0,0.09999663
4.0,19.0,0.09999656
4.0,20.0,0.09999654
5.0,0.0,4.28495e-05
5.0,1.0,0.09999691
5.0,2.0,0.09999646
5.0,3.0,0.09999707
5.0,4.0,0.09999734
5.0,5.0,0.09999706
5.0,6.0,0.09999697
5.0,7.0,0.09999699
5.0,8.0,0.09999699
5.0,9.0,0.09999711
5.0,10.0,0.09999691
5.0,11.0,0.09999695
5.0,12.0,0.09999681
5.0,13.0,0.0999966
5.0,14.0,0.0999966
5.0,15.0,0.0999967
5.0,16.0,0.09999663
5.0,17.0,0.0999966
5.0,18.0,0.09999647
5.0,19.0,0.09999648
5.0,20.0,0.09999648
